RCH4,EHF,ERS2_1,ERS2_2,ERS2_3
0.6,-39.70506025,-39.8643469,-39.86677648,-39.87090918
0.675,-39.90931344,-40.06911447,-40.07156899,-40.07560996
0.75,-40.03763813,-40.19830295,-40.20076765,-40.20471568
0.825,-40.11654939,-40.27821962,-40.28068953,-40.2845486
0.9,-40.16284541,-40.32553124,-40.32800462,-40.33178601
0.975,-40.18742012,-40.35106318,-40.35354046,-40.35725938
1.05,-40.19750344,-40.362019,-40.36450206,-40.36817491
1.125,-40.19797443,-40.36327559,-40.3657672,-40.36940976
1.2,-40.19215201,-40.35816222,-40.36066566,-40.36429207
1.275,-40.18229652,-40.34895613,-40.35147505,-40.35509744
1.35,-40.16994464,-40.33721452,-40.33975295,-40.34338105
1.425,-40.15613911,-40.32400235,-40.32656473,-40.3302062
1.5,-40.14158659,-40.31004856,-40.31264004,-40.31630015
1.575,-40.12676458,-40.29585165,-40.29847841,-40.30216007
1.65,-40.11199323,-40.28175073,-40.28442021,-40.2881239
1.725,-40.09748389,-40.26797354,-40.27069528,-40.27441824
1.8,-40.08337239,-40.25467002,-40.25745673,-40.26119219
1.875,-40.06974226,-40.2419357,-40.2448045,-40.24854042
1.95,-40.05664094,-40.22982842,-40.23280092,-40.23652019
2.025,-40.04409115,-40.21837963,-40.22147795,-40.22516291
2.1,-40.03209892,-40.20760282,-40.21084334,-40.21448208
2.175,-40.02065927,-40.19749916,-40.2008928,-40.20447955
2.25,-40.00976033,-40.1880613,-40.19161678,-40.19514954
2.325,-39.99938604,-40.17927669,-40.18300259,-40.18648118
2.4,-39.98951791,-40.17112947,-40.17503449,-40.17846132
2.475,-39.98013602,-40.16360128,-40.16769519,-40.17107502
2.55,-39.9712196,-40.15667263,-40.16096615,-40.16430763
2.625,-39.96274741,-40.15032317,-40.15482748,-40.15814513
2.7,-39.95469798,-40.14453167,-40.14925944,-40.15257817
2.775,-39.94705007,-40.13927697,-40.14424149,-40.14761383
2.85,-39.93978293,-40.1345381,-40.13975347,-40.19770098
2.925,-39.93287672,-40.13029402,-40.13577574,-40.19637313
3.0,-39.92631275,-40.12652467,-40.13228842,-40.19528296
3.075,-39.92007364,-40.12321074,-40.12927311,-40.19439051
3.15,-39.91414346,-40.1203331,-40.12671095,-40.1936616
3.225,-39.90850762,-40.11787368,-40.12458408,-40.19306734
3.3,-39.90315289,-40.11581495,-40.12287498,-40.19258343
3.375,-39.89806716,-40.11413908,-40.121565,-40.1921899
3.45,-39.89323934,-40.11282926,-40.12063652,-40.19186993
3.525,-39.88865916,-40.11186834,-40.1200701,-40.19160995
